Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Razam,IN,18.4667,83.6667,25.13,93,100,2.14,overcast clouds
274,Broome,US,42.2506,-75.833,11.75,85,100,4.12,overcast clouds
275,Kerewan,GM,13.4898,-16.0888,32.43,61,94,2.2,overcast clouds
276,Phalombe,MW,-15.8064,35.6507,26.9,27,8,0.75,clear sky
277,Arlit,NE,18.7369,7.3853,38.59,9,8,6.46,clear sky
278,Guantanamo,CU,20.1444,-75.2092,28.76,59,94,0.94,overcast clouds
279,Mafinga,TZ,-7.25,35.0667,26.75,25,53,5.79,broken clouds
280,Rawson,AR,-43.3002,-65.1023,20.48,32,68,5.6,broken clouds
281,Hithadhoo,MV,-0.6,73.0833,28.05,74,84,6.96,broken clouds
282,Vila,PT,42.0304,-8.1588,19.28,54,7,1.81,clear sky
283,Maniitsoq,GL,65.4167,-52.9,1.55,59,100,4.52,overcast clouds
284,Daru,PG,-9.0763,143.2092,26.13,89,99,7.27,overcast clouds
285,Leningradskiy,RU,69.3833,178.4167,-3.78,93,100,3.55,overcast clouds
286,Upata,VE,8.0086,-62.3989,30.11,65,71,0.7,broken clouds
287,Kikinda,RS,45.8297,20.4653,14.5,61,100,2.43,overcast clouds
288,Vostok,RU,46.4856,135.8833,-5.16,86,97,1.77,overcast clouds
289,Tura,IN,25.5198,90.2201,22.56,89,93,0.81,overcast clouds
290,Saint-Augustin,CA,51.226,-58.6502,17.04,50,32,7.3,scattered clouds
291,Gizo,SB,-8.103,156.8419,27.61,77,96,3.28,light rain
292,Angoche,MZ,-16.2325,39.9086,24.76,74,2,6.77,clear sky
293,Eirunepe,BR,-6.6603,-69.8736,36.98,34,24,1.34,few clouds
294,Chicama,PE,-7.8447,-79.1469,15.3,61,33,4.65,scattered clouds
295,Camacha,PT,33.0833,-16.3333,21.68,73,20,4.63,few clouds
296,Tigil,RU,57.8,158.6667,6.44,91,100,4.9,light rain
297,Chala,TZ,-7.5833,31.2667,21.0,26,56,0.42,broken clouds
298,Terney,RU,45.0503,136.6092,2.49,56,1,6.52,clear sky
299,La Palma,US,33.8464,-118.0467,28.84,75,40,2.06,scattered clouds
300,Pesaro,IT,43.9036,12.8903,20.63,77,100,5.14,overcast clouds
301,Launceston,AU,-41.45,147.1667,3.8,82,42,5.14,scattered clouds
302,Severo-Kurilsk,RU,50.6789,156.125,11.75,91,100,10.96,light rain
303,Luderitz,NA,-26.6481,15.1594,15.88,68,0,10.16,clear sky
304,Panjakent,TJ,39.4952,67.6093,14.87,34,0,1.04,clear sky
305,Adelaide,AU,-34.9333,138.6,15.71,79,89,7.72,light rain
306,Palanga,LT,55.9175,21.0686,12.01,76,20,2.06,few clouds
307,Charters Towers,AU,-20.1,146.2667,19.0,80,97,5.04,overcast clouds
308,Hohhot,CN,40.8106,111.6522,-0.84,59,0,2.0,clear sky
309,Caraquet,CA,47.7941,-64.9386,15.3,40,78,3.99,broken clouds
310,Goure,NE,13.9835,10.2704,36.87,14,56,3.73,broken clouds
311,Aklavik,CA,68.2191,-135.0107,-3.75,93,6,6.08,clear sky
312,Marsa Matruh,EG,31.3525,27.2453,25.11,65,20,4.12,few clouds
313,Zeya,RU,53.75,127.2667,-3.4,73,63,1.94,broken clouds
314,Shimoda,JP,34.6667,138.95,24.5,89,95,8.72,overcast clouds
315,Tagusao,PH,9.1924,117.8141,26.26,84,75,1.8,broken clouds
316,Nyurba,RU,63.2842,118.3319,-4.06,83,35,2.88,scattered clouds
317,Acari,PE,-15.4311,-74.6158,23.19,48,38,4.77,scattered clouds
318,Filadelfia,US,39.9523,-75.1638,11.01,95,100,6.69,overcast clouds
319,Oriximina,BR,-1.7656,-55.8661,32.73,45,53,1.83,broken clouds
320,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,34.99,32,35,4.54,scattered clouds
321,Magugu,TZ,-4.0167,35.7667,24.9,30,15,0.21,few clouds
322,Golden,US,39.7555,-105.2211,18.76,65,40,1.79,scattered clouds
323,Salinopolis,BR,-0.6136,-47.3561,29.31,66,66,5.07,broken clouds
324,Peniche,PT,39.3558,-9.3811,24.6,70,4,4.7,clear sky
325,Poyarkovo,RU,49.6,128.6833,-1.76,56,7,3.53,clear sky
326,Freetown,SL,8.484,-13.2299,28.84,61,40,3.09,scattered clouds
327,Kirakira,SB,-10.4544,161.9205,26.77,81,100,4.21,overcast clouds
328,Nizhniy Kuranakh,RU,58.8353,125.4869,-3.59,93,100,4.51,light snow
329,Mitchell,US,43.7094,-98.0298,17.84,80,40,3.6,scattered clouds
330,Abbeville,FR,50.1,1.8333,18.05,83,68,2.57,broken clouds
331,Merauke,ID,-8.4667,140.3333,26.19,88,100,6.14,overcast clouds
332,Buchanan,LR,5.8808,-10.0467,26.87,79,94,4.03,overcast clouds
333,Awbari,LY,26.5921,12.7805,27.54,30,0,4.01,clear sky
334,Tilichiki,RU,60.4667,166.1,4.33,89,100,8.62,moderate rain
335,Ahipara,NZ,-35.1667,173.1667,12.49,73,99,4.88,overcast clouds
336,Port Augusta,AU,-32.5,137.7667,15.21,80,61,2.41,broken clouds
337,Coihaique,CL,-45.5752,-72.0662,12.34,50,40,5.66,scattered clouds
338,Noumea,NC,-22.2763,166.4572,13.99,71,0,2.29,clear sky
339,Simpang,ID,-1.2667,104.0833,24.14,94,100,0.5,light rain
340,Aden,YE,12.7794,45.0367,30.83,70,89,4.82,overcast clouds
341,Tandil,AR,-37.3217,-59.1332,19.27,25,73,6.23,broken clouds
342,Champerico,GT,14.3,-91.9167,32.3,72,55,1.57,broken clouds
343,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,8.33,100,100,6.0,light intensity shower rain
344,Ampanihy,MG,-24.7,44.75,21.7,74,0,3.43,clear sky
345,Eregli,TR,37.5133,34.0467,21.35,44,62,1.53,broken clouds
346,Polson,US,47.6936,-114.1632,17.62,73,2,0.44,clear sky
347,Winslow,US,35.0242,-110.6974,14.1,82,100,2.57,overcast clouds
